order_date,order_date_year,order_date_month,order_date_day,pages_visited,order_id,customer_id,tshirt_category,tshirt_price,tshirt_quantity
2015-10-22T00:00:00.000Z,2015,10,22,12,HTS-88ua9r-0001,88ua9r,White T-Shirt M,20.0,1
2015-11-24T00:00:00.000Z,2015,11,24,15,HTS-je57lh-0001,je57lh,Hoodie,23.0,3
2015-10-10T00:00:00.000Z,2015,10,10,8,HTS-252675-0002,252675,White T-Shirt M,20.0,3
2015-11-29T00:00:00.000Z,2015,11,29,15,HTS-heb26i-0001,heb26i,Black T-Shirt F,17.5,1
2015-10-09T00:00:00.000Z,2015,10,9,10,HTS-989355-0003,989355,Hoodie,23.0,2
2015-03-26T00:00:00.000Z,2015,3,26,11,HTS-679143-0002,679143,Hoodie,23.0,1
2015-01-17T00:00:00.000Z,2015,1,17,5,HTS-198773-0002,198773,White T-Shirt M,20.0,1
2015-09-08T00:00:00.000Z,2015,9,8,11,HTS-pq3m7c-0001,pq3m7c,Hoodie,23.0,1
2015-09-30T00:00:00.000Z,2015,9,30,11,HTS-0jkgoq-0001,0jkgoq,Black T-Shirt M,19.0,3
2015-08-02T00:00:00.000Z,2015,8,2,19,HTS-318409-0001,318409,Black T-Shirt M,19.0,1
2015-10-12T00:00:00.000Z,2015,10,12,13,HTS-732802-0003,732802,White T-Shirt F,18.0,2
2015-12-13T00:00:00.000Z,2015,12,13,11,HTS-f5soew-0001,f5soew,Hoodie,23.0,2
2015-06-23T00:00:00.000Z,2015,6,23,6,HTS-162811-0002,162811,Black T-Shirt M,19.0,3
2015-10-18T00:00:00.000Z,2015,10,18,13,HTS-k2st8f-0001,k2st8f,Black T-Shirt F,17.5,4
2015-08-18T00:00:00.000Z,2015,8,18,10,HTS-6hmdy8-0001,6hmdy8,Black T-Shirt F,17.5,4
2015-01-28T00:00:00.000Z,2015,1,28,11,HTS-710433-0001,710433,White T-Shirt F,18.0,1
2015-12-09T00:00:00.000Z,2015,12,9,6,HTS-636741-0002,636741,Hoodie,23.0,1
2015-09-22T00:00:00.000Z,2015,9,22,13,HTS-33e51w-0001,33e51w,White T-Shirt F,18.0,7
2015-11-30T00:00:00.000Z,2015,11,30,12,HTS-834127-0001,834127,White T-Shirt F,18.0,1
2015-08-12T00:00:00.000Z,2015,8,12,16,HTS-grd2ue-0001,grd2ue,Hoodie,23.0,2
2015-03-12T00:00:00.000Z,2015,3,12,15,HTS-958838-0001,958838,White T-Shirt M,20.0,2
2015-12-25T00:00:00.000Z,2015,12,25,10,HTS-301810-0003,301810,Hoodie,23.0,3
2015-01-31T00:00:00.000Z,2015,1,31,16,HTS-818286-0001,818286,Hoodie,23.0,1
2015-10-17T00:00:00.000Z,2015,10,17,4,HTS-601868-0005,601868,Black T-Shirt M,19.0,1
2015-05-01T00:00:00.000Z,2015,5,1,17,HTS-917138-0002,917138,White T-Shirt M,20.0,2
2015-10-15T00:00:00.000Z,2015,10,15,13,HTS-vajch6-0001,vajch6,Black T-Shirt F,17.5,1
2015-12-02T00:00:00.000Z,2015,12,2,5,HTS-521731-0003,521731,White T-Shirt M,20.0,2
2015-07-22T00:00:00.000Z,2015,7,22,9,HTS-ar83mg-0001,ar83mg,Tennis Shirt,24.0,2
2015-04-18T00:00:00.000Z,2015,4,18,11,HTS-916341-0002,916341,Hoodie,23.0,2
2015-12-09T00:00:00.000Z,2015,12,9,15,HTS-877835-0002,877835,Hoodie,23.0,3
2015-06-01T00:00:00.000Z,2015,6,1,13,HTS-426579-0003,426579,Tennis Shirt,24.0,4
2015-11-05T00:00:00.000Z,2015,11,5,12,HTS-pqtpnh-0001,pqtpnh,Black T-Shirt M,19.0,2
2015-12-20T00:00:00.000Z,2015,12,20,12,HTS-919747-0004,919747,White T-Shirt F,18.0,2
2015-03-11T00:00:00.000Z,2015,3,11,11,HTS-842157-0002,842157,Black T-Shirt M,19.0,5
2015-12-30T00:00:00.000Z,2015,12,30,9,HTS-ggj8vc-0001,ggj8vc,White T-Shirt F,18.0,1
2015-10-04T00:00:00.000Z,2015,10,4,6,HTS-469269-0003,469269,White T-Shirt M,20.0,2
2015-03-20T00:00:00.000Z,2015,3,20,15,HTS-995267-0002,995267,White T-Shirt F,18.0,5
2015-12-28T00:00:00.000Z,2015,12,28,9,HTS-103700-0003,103700,White T-Shirt M,20.0,1
2015-09-07T00:00:00.000Z,2015,9,7,12,HTS-006743-0002,006743,Black T-Shirt F,17.5,1
2015-06-26T00:00:00.000Z,2015,6,26,12,HTS-411983-0003,411983,White T-Shirt M,20.0,2
2015-12-27T00:00:00.000Z,2015,12,27,18,HTS-b0hok2-0001,b0hok2,Black T-Shirt M,19.0,3
2015-08-28T00:00:00.000Z,2015,8,28,5,HTS-465652-0004,465652,White T-Shirt F,18.0,14
2015-08-07T00:00:00.000Z,2015,8,7,10,HTS-a3jj90-0001,a3jj90,White T-Shirt F,18.0,1
2015-07-01T00:00:00.000Z,2015,7,1,7,HTS-424554-0003,424554,White T-Shirt F,18.0,5
2015-11-02T00:00:00.000Z,2015,11,2,17,HTS-7xehc3-0001,7xehc3,Hoodie,23.0,2
2015-12-01T00:00:00.000Z,2015,12,1,11,HTS-015745-0003,015745,Hoodie,23.0,3
2015-02-12T00:00:00.000Z,2015,2,12,7,HTS-172798-0002,172798,Black T-Shirt F,17.5,17
2015-04-12T00:00:00.000Z,2015,4,12,10,HTS-078015-0002,078015,White T-Shirt F,18.0,2
2015-07-16T00:00:00.000Z,2015,7,16,10,HTS-059199-0002,059199,Black T-Shirt F,17.5,1
2015-08-13T00:00:00.000Z,2015,8,13,19,HTS-718227-0001,718227,Black T-Shirt M,19.0,1
2015-12-29T00:00:00.000Z,2015,12,29,5,HTS-491676-0002,491676,White T-Shirt M,20.0,1
2015-08-31T00:00:00.000Z,2015,8,31,4,HTS-089402-0003,089402,White T-Shirt M,20.0,2
2015-08-25T00:00:00.000Z,2015,8,25,5,HTS-011861-0002,011861,Black T-Shirt F,17.5,4
2015-09-11T00:00:00.000Z,2015,9,11,20,HTS-398537-0001,398537,White T-Shirt F,18.0,1
2015-07-21T00:00:00.000Z,2015,7,21,13,HTS-550064-0002,550064,White T-Shirt M,20.0,1
2015-04-30T00:00:00.000Z,2015,4,30,14,HTS-829093-0002,829093,White T-Shirt M,20.0,4
2015-04-12T00:00:00.000Z,2015,4,12,8,HTS-398359-0002,398359,Tennis Shirt,24.0,3
2015-10-03T00:00:00.000Z,2015,10,3,8,HTS-124562-0004,124562,White T-Shirt F,18.0,2
2015-12-11T00:00:00.000Z,2015,12,11,17,HTS-res9z8-0001,res9z8,White T-Shirt M,20.0,2
